file,scan_preset,iteration,relaxation,time_sec,mse,psnr,ssim
sart_i100_r0.20_hologic_scan.npy,hologic_scan,100,0.2,249.568,0.007440259581509321,21.284119121892708,0.573935176295094
sart_i30_r0.80_hologic_scan.npy,hologic_scan,30,0.8,52.3239,0.0074477019592334185,21.27977711195642,0.5604945278938387
sart_i50_r0.40_hologic_scan.npy,hologic_scan,50,0.4,118.692,0.007454081945342961,21.276058372040403,0.5674277589169426
sart_i30_r0.70_hologic_scan.npy,hologic_scan,30,0.7,52.3081,0.0074874541493094955,21.256658240701242,0.5594002504577084
sart_i30_r0.60_hologic_scan.npy,hologic_scan,30,0.6,52.1996,0.0075336131377872545,21.229966852261963,0.5580569414687645
sart_i20_r1.00_hologic_scan.npy,hologic_scan,20,1.0,36.9962,0.007551287768900611,21.21978979067926,0.5517010989752029
sart_i75_r0.20_hologic_scan.npy,hologic_scan,75,0.2,140.686,0.007556844456492872,21.216595168297367,0.5649469788952489
sart_i100_r0.15_hologic_scan.npy,hologic_scan,100,0.15,1631.34,0.007559570806972764,21.215028607758573,0.5658852601799689
sart_i50_r0.30_hologic_scan.npy,hologic_scan,50,0.3,108.899,0.0075606015495725785,21.21443649040237,0.5622094321533648
sart_i20_r0.90_hologic_scan.npy,hologic_scan,20,0.9,35.0889,0.007586009928279377,21.199865932448645,0.5510022133516422
sart_i30_r0.50_hologic_scan.npy,hologic_scan,30,0.5,52.6669,0.007592194673950298,21.196326645509377,0.5561446710163559
sart_i20_r0.80_hologic_scan.npy,hologic_scan,20,0.8,36.5649,0.007621894868918501,21.17937045876559,0.5502306646492772
sart_i20_r0.70_hologic_scan.npy,hologic_scan,20,0.7,36.6425,0.007663495690784958,21.15573082467554,0.5492413304388749
sart_i30_r0.40_hologic_scan.npy,hologic_scan,30,0.4,52.7642,0.007671088669054832,21.151429972750332,0.5531030946270715
sart_i15_r1.00_hologic_scan.npy,hologic_scan,15,1.0,27.8739,0.007678745456246696,21.147097286579015,0.5452102646991651
sart_i75_r0.15_hologic_scan.npy,hologic_scan,75,0.15,171.225,0.007681553733156075,21.14550927170515,0.5574267758369421
sart_i20_r0.60_hologic_scan.npy,hologic_scan,20,0.6,34.6667,0.007712499092023682,21.12804874087276,0.5479387989441771
sart_i15_r0.90_hologic_scan.npy,hologic_scan,15,0.9,27.9309,0.00771496390425463,21.12666101515247,0.5445465126908176
